% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.1223354 42.8244247 -8.59732 5.0000000e-01 -1.0500000e+01 5.0000000e+02 5.0000000e+02 1.6863811e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 9.4426287e-01 3.6000000e+00
13.1180401 42.8262444 -8.89121 5.0000000e-01 -1.1000000e+01 5.0000000e+02 5.0000000e+02 1.9616632e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.1264375e+00 3.6000000e+00
13.1137457 42.8280640 -9.1851 5.0000000e-01 -1.1500000e+01 5.0000000e+02 5.0000000e+02 2.2069064e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.3094570e+00 3.6000000e+00
13.1094503 42.8298836 -9.47899 5.0000000e-01 -1.2000000e+01 5.0000000e+02 5.0000000e+02 2.2038761e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.4930107e+00 3.6000000e+00
13.1051559 42.8317032 -9.77289 5.0000000e-01 -1.2500000e+01 5.0000000e+02 5.0000000e+02 1.9162000e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.6769232e+00 3.6000000e+00
13.1008606 42.8335228 -10.0668 5.0000000e-01 -1.3000000e+01 5.0000000e+02 5.0000000e+02 1.4529953e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.8610881e+00 3.6000000e+00
13.2180529 42.7786751 -1.83778 1.0000000e+00 1.0000000e+00 5.0000000e+02 5.0000000e+02 1.1854472e-01 -1.0000000e+02 3.6000000e+01 2.1000000e+02 3.3538463e+00 3.6000000e+00
13.2137585 42.7804947 -2.13168 1.0000000e+00 5.0000000e-01 5.0000000e+02 5.0000000e+02 3.2632978e-01 -1.0000000e+02 3.6000000e+01 2.1000000e+02 3.1698598e+00 3.6000000e+00
13.2094631 42.7823143 -2.42557 1.0000000e+00 0.0000000e+00 5.0000000e+02 5.0000000e+02 6.3312330e-01 -1.0000000e+02 3.6000000e+01 2.1000000e+02 2.9860214e+00 3.6000000e+00
13.2051687 42.7841339 -2.71946 1.0000000e+00 -5.0000000e-01 5.0000000e+02 5.0000000e+02 1.1601516e+00 -5.6964079e+01 3.6000000e+01 2.1000000e+02 2.8023604e+00 3.6000000e+00
13.2008734 42.7859535 -3.01336 1.0000000e+00 -1.0000000e+00 5.0000000e+02 5.0000000e+02 1.8670060e+00 -2.9737573e+01 3.6000000e+01 2.1000000e+02 2.6189140e+00 3.6000000e+00
13.1965790 42.7877769 -3.30725 1.0000000e+00 -1.5000000e+00 5.0000000e+02 5.0000000e+02 2.5112337e+00 -2.0009210e+01 3.6000000e+01 2.1000000e+02 2.4357308e+00 3.6000000e+00
13.1922836 42.7895966 -3.60114 1.0000000e+00 -2.0000000e+00 5.0000000e+02 5.0000000e+02 2.8503821e+00 -1.6779425e+01 3.6000000e+01 2.1000000e+02 2.2528750e+00 3.6000000e+00
13.1879883 42.7914162 -3.89503 1.0000000e+00 -2.5000000e+00 5.0000000e+02 5.0000000e+02 2.7416522e+00 -1.6668547e+01 3.6000000e+01 2.1000000e+02 2.0704333e+00 3.6000000e+00
